Hall,Meal,Station,Dish
The Edge At Akers,Breakfast,The Grille,Bacon
The Edge At Akers,Breakfast,The Grille,Grilled Chroizo Breakfast Taco
The Edge At Akers,Breakfast,The Grille,Hard Cooked Eggs
The Edge At Akers,Breakfast,The Grille,Salsa
The Edge At Akers,Breakfast,The Grille,Scrambled Eggs
The Edge At Akers,Breakfast,The Grille,Tater Tots
The Edge At Akers,Breakfast,The Grille,Tofu Scramble
The Edge At Akers,Breakfast,The Grille,Veggie Sausage Patties
The Edge At Akers,Lunch,Nook,Butter
The Edge At Akers,Lunch,Nook,Cherry Jello
The Edge At Akers,Lunch,Nook,Chocolate Pudding
The Edge At Akers,Lunch,Nook,Grape Jelly
The Edge At Akers,Lunch,Nook,Low Fat Blueberry Yogurt
The Edge At Akers,Lunch,Nook,Low Fat Cottage Cheese
The Edge At Akers,Lunch,Nook,Plain Cream Cheese
The Edge At Akers,Lunch,Nook,Shredded Mild Cheddar Cheese
The Edge At Akers,Lunch,Nook,Sour Cream
The Edge At Akers,Lunch,Slices,Cheese Pizza
The Edge At Akers,Lunch,Slices,Meat Lovers Pizza
The Edge At Akers,Lunch,Slices,Pepperoni Pizza
The Edge At Akers,Lunch,Soup,3 Alarm Chili
The Edge At Akers,Lunch,Soup,Miso Soup with Tofu
The Edge At Akers,Lunch,Sprinkles,Cheesecake
The Edge At Akers,Lunch,Sprinkles,Chocolate Chip Cookie
The Edge At Akers,Lunch,Sprinkles,Chocolate Iced Chocolate Cake
The Edge At Akers,Lunch,Sprinkles,Snickerdoodle Layer Cake
The Edge At Akers,Lunch,Sprinkles,Sugar Cookie
The Edge At Akers,Lunch,Sprinkles,Vegan Vanilla Cupcake
The Edge At Akers,Lunch,Stacks,Chicken Caesar Wrap
The Edge At Akers,Lunch,Stacks,Sunbutter and Jelly Sandwich
The Edge At Akers,Lunch,Sticks/Noodles,Ginger Lemongrass Halal Beef w/Sesame
The Edge At Akers,Lunch,Sticks/Noodles,Jasmine Rice
